time_ms,t1_c,t2_c,pwm1,pwm2
2004,25.65,25.87,225,0
6004,25.08,25.43,225,0
8004,24.75,25.28,225,0
10004,24.24,25.16,225,0
12004,24.84,25.03,225,0
14004,24.70,25.05,225,0
16004,23.72,24.95,225,0
18004,24.66,24.86,225,0
20004,23.57,24.75,225,0
22004,23.61,24.81,225,0
24004,24.00,24.68,225,0
26004,23.94,24.77,225,0
28004,24.07,24.70,225,0
30004,24.31,24.70,225,0
32004,25.16,24.68,225,0
34004,25.34,24.64,225,0
36004,25.52,24.66,225,0
38004,24.77,24.62,225,0
40004,25.87,24.57,225,0
42004,25.85,24.55,225,0
44004,24.77,24.62,225,0
46004,26.14,24.55,0,0
48004,26.29,24.64,0,0
50004,26.45,24.66,0,0
52004,26.67,24.68,0,0
54004,26.87,24.90,0,0
56004,27.03,24.77,0,0
58004,27.05,24.95,0,0
60004,27.16,24.92,0,0
62004,27.25,24.97,0,0
64004,27.36,24.99,0,0
66004,27.45,25.08,0,0
68004,27.47,25.08,0,0
70004,27.68,25.10,225,0
72004,26.74,25.23,225,0
74004,27.63,25.19,225,0
76004,26.45,25.23,225,0
78004,28.15,25.25,225,0
80004,27.79,25.34,225,0
82004,27.72,25.61,225,0
84004,26.71,25.39,225,0
86004,26.83,25.47,225,0
88004,27.99,25.58,225,0
90004,28.67,25.61,225,0
92004,27.05,25.56,225,0
94004,28.04,25.61,225,0
96004,27.21,25.56,225,0
98004,28.37,25.56,225,0
100004,28.56,25.72,225,0
102004,28.62,25.76,225,0
104004,28.74,25.83,225,0
106004,27.74,25.80,225,0
108004,29.03,25.80,225,0
110004,28.85,25.87,225,0
112004,29.05,25.94,225,0
114004,29.19,26.03,225,0
116004,29.17,25.96,225,0
118004,29.12,26.18,225,0
120004,29.42,26.07,0,0
122004,29.47,26.25,0,0
124004,29.60,26.09,0,0
126004,29.72,26.27,0,0
128004,29.79,26.38,0,0
130004,29.92,26.31,0,0
132004,30.06,26.25,0,0
134004,30.20,26.34,0,0
136004,30.22,26.38,0,0
138004,30.27,26.56,0,0
140004,30.34,26.45,0,0
142004,30.27,26.63,0,0
144004,30.25,26.63,0,0
146004,30.25,26.71,0,0
148004,30.25,26.65,0,0
150004,30.22,26.76,0,0
152004,30.18,26.80,0,0
154004,30.04,26.85,0,0
156004,30.02,26.76,0,0
158004,29.90,26.87,225,0
160004,28.74,26.80,225,0
162004,28.74,26.83,225,0
164004,29.60,26.80,225,0
166004,29.31,26.65,225,0
168004,29.42,26.85,225,0
170004,29.31,26.89,225,0
172004,29.42,26.94,0,0
174004,29.47,26.94,0,0
176004,29.47,26.96,0,0
178004,29.53,27.00,0,0
180004,29.51,27.05,0,0
182004,29.49,27.03,0,0
184004,29.47,27.12,0,0
186004,29.58,27.09,0,0
188004,29.58,27.14,0,0
190004,29.58,27.23,0,0
192004,29.56,27.18,0,0
194004,29.58,27.09,0,0
196004,29.53,27.21,0,0
